"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
339,"Santo Antônio do Sudoeste",19693,NA,381,2466,257,143,937,3203511,1060300,1200,4124400,325.651,23673,72.69,96.6,0.671,"7.49",138437672.58,123830918.1,31852.54,"PR"
340,"Santo Inácio",16419,8,450,650,90,230,750,678000,1950,NA,4124509,280.133,6181,22.06,99.3,0.739,"-",55982240.97,47717908.45,98142.7,"PR"
341,"São Carlos do Ivaí",2956,NA,190,300,50,NA,250,2500,450,NA,4124608,225.079,6587,29.27,98.2,0.682,"-",50714190.49,41088797.47,56894.74,"PR"
342,"São Jerônimo da Serra",39599,139,1018,351,75,24,885,5906,2000,188,4124707,823.774,10830,13.15,96.2,0.637,"23.62",66441785.43,57455244.38,29122.78,"PR"
343,"São João",20773,36,289,993,257,293,993,2896138,126672,310,4124806,388.059,11886,30.63,97.6,0.727,"20.98",86491301,83372691.13,87991.12,"PR"
344,"São João do Caiuá",36435,NA,640,440,65,70,620,610000,820,NA,4124905,304.413,5586,18.35,95,0.664,"-",43765599.36,34222742.86,26569.18,"PR"
345,"São João do Ivaí",12561,2,283,872,140,50,777,733680,35500,NA,4125001,353.331,10667,30.19,98.7,0.693,"-",64977149.25,54635748.95,36497.91,"PR"
346,"São João do Triunfo",4139,746,767,6998,780,147,1377,18000,8200,NA,4125100,720.407,13726,19.05,96.9,0.629,"6.45",86683434.65,78058480.98,37735.83,"PR"
347,"São Jorge d'Oeste",34037,16,480,8972,320,78,1902,2843000,76000,250,4125209,379.545,9378,24.71,98.9,0.722,"23.08",93670595.53,80394374.43,52566.77,"PR"
348,"São Jorge do Ivaí",898,NA,84,366,62,19,74,2739736,5100,NA,4125308,315.088,5168,16.4,98.4,0.743,"23.81",54262122.86,45339931.07,72507.92,"PR"
349,"São Jorge do Patrocínio",38555,18,390,1600,270,95,650,705800,3400,NA,4125357,406.413,6504,16,97.2,0.676,"-",67754887.45,55277541.32,26281.08,"PR"
350,"São José da Boa Vista",16066,15,436,3908,304,12,295,159227,24072,NA,4125407,399.667,6040,15.11,99.2,0.671,"30.3",38494002.36,35299548.82,37579.8,"PR"
351,"São José das Palmeiras",23707,3,381,24844,470,500,1500,317629,15100,NA,4125456,182.419,3957,21.69,99.5,0.713,"18.52",35473071.25,30547734.78,27502.48,"PR"
352,"São José dos Pinhais",9806,45,3008,1699,169,200,3130,443000,19000,NA,4125506,946.435,329628,348.28,97.4,0.758,"7.04",1855037818.78,1665902153,80717.4,"PR"
353,"São Manoel do Paraná",2657,NA,112,405,58,7,76,4e+05,1550,NA,4125555,95.381,2138,22.42,97.8,0.725,"-",40468653.4,33863657.23,28799.62,"PR"
354,"São Mateus do Sul",21675,771,3280,14171,1680,451,8211,141000,94200,NA,4125605,1341.714,42366,31.58,97.6,0.719,"5.77",249176471.48,215240697.3,32181.24,"PR"
355,"São Miguel do Iguaçu",17000,4,303,133000,8400,940,2980,5550000,285000,1800,4125704,851.917,29122,34.18,99,0.704,"17.5",241480542.42,225273581.4,53082.67,"PR"
356,"São Pedro do Iguaçu",15961,NA,295,67076,6935,305,805,474400,120000,NA,4125753,308.324,5784,18.76,97.3,0.683,"-",48516854.01,39462664.68,43023.44,"PR"
357,"São Pedro do Ivaí",9057,NA,220,1110,155,27,410,398993,4813,NA,4125803,322.692,8690,26.93,97.6,0.717,"-",63324400.36,53707403.01,33318.9,"PR"
358,"São Pedro do Paraná",29464,10,660,970,112,24,1690,230268,3500,NA,4125902,250.654,2661,10.62,100,0.704,"-",40727676.32,33387139.14,39882.77,"PR"
359,"São Sebastião da Amoreira",1945,NA,77,115,77,16,42,119000,220,NA,4126009,226.872,8063,35.54,99,0.715,"11.11",45298354.26,42434049.73,33860.14,"PR"
360,"São Tomé",7622,NA,90,522,54,13,255,2100000,1250,NA,4126108,218.623,5232,23.93,98.7,0.725,"-",43382257.13,42765815.44,28293.49,"PR"
361,"Sapopema",55711,732,1176,1489,340,150,1144,9000,2720,NA,4126207,677.609,6695,9.88,96.7,0.655,"11.24",48461142.42,43309142.85,22942.31,"PR"
362,"Sarandi",1200,NA,27,319,66,24,148,277400,173840,NA,4126256,103.501,118455,1144.48,96.3,0.695,"14.08",505417797.92,434716350.3,20962.06,"PR"
363,"Saudade do Iguaçu",16401,5,239,3931,320,80,337,1424310,6180,NA,4126272,152.084,6108,40.16,99,0.699,"10.53",65996117.09,55692178.2,140973.05,"PR"
364,"Sengés",22463,170,770,7655,1544,287,1100,20993,5241,NA,4126306,1441.333,17270,11.98,97.7,0.663,"8.66",122664112.42,108238506.8,34196.93,"PR"
365,"Serranópolis do Iguaçu",5650,NA,32,107000,12800,16,970,2240000,366000,560,4126355,482.394,5007,10.38,100,0.762,"14.93",60547982.88,48742886.36,65324.84,"PR"
366,"Sertaneja",1981,NA,78,132,100,1,160,95000,14000,60,4126405,444.492,5616,12.63,99.6,0.725,"-",62188071.14,53681521.28,80884.23,"PR"
367,"Sertanópolis",11434,23,324,1479,215,55,1069,712385,1450,NA,4126504,505.532,15930,31.51,97.1,0.723,"-",116705463.94,105363528.6,41980.09,"PR"
368,"Siqueira Campos",34467,48,729,5650,998,57,295,2094230,20030,NA,4126603,278.035,22811,82.04,97.5,0.704,"-",134072277.98,112139264.8,32901.6,"PR"
