"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
195,"São João do Piauí",6329,NA,503,5835,934,20275,19058,24553,9819,NA,2210003,1527.497,21421,14.02,98.3,0.645,"20.98",110561342.71,104835134.9,20605.74,"PI"
196,"São José do Divino",9920,NA,209,3001,602,9732,6123,13473,3873,NA,2210052,319.367,4841,15.16,99.2,0.565,"-",30927471.11,29118674.3,11892.03,"PI"
197,"São José do Peixe",5876,NA,312,1183,229,3810,7551,6145,1534,NA,2210102,1287.174,3297,2.56,97.5,0.573,"-",23435924.78,20802284,11462.74,"PI"
198,"São José do Piauí",3182,NA,214,2987,656,380,267,26627,7078,NA,2210201,373.347,6597,17.67,97.5,0.552,"44.12",31323858.7,27689303.38,10166.49,"PI"
199,"São Julião",2709,NA,112,1379,343,5054,10113,8726,2182,NA,2210300,291.089,6025,20.7,94.3,0.594,"-",29211502.93,30115628.33,9332.78,"PI"
200,"São Lourenço do Piauí",1813,NA,108,7534,817,31362,21884,18687,5609,NA,2210359,673.822,4410,6.54,98.9,0.595,"52.63",29121102.54,27050852.56,9891.95,"PI"
201,"São Luis do Piauí",1455,NA,59,3673,844,5573,2537,9331,2426,NA,2210375,217.924,2309,10.6,97,0.554,"103.45",22662362.51,19721044.55,9566.51,"PI"
202,"São Miguel da Baixa Grande",2421,NA,44,1234,185,3053,3367,4219,1055,NA,2210383,444.528,2269,5.1,98.9,0.563,"-",20023836.58,17142967.17,11104.36,"PI"
203,"São Miguel do Fidalgo",3314,NA,187,1651,248,2933,3456,8606,2152,NA,2210391,813.444,2829,3.48,98.7,0.535,"-",24494955.55,21272829.89,15628.44,"PI"
204,"São Miguel do Tapuio",15202,NA,314,8084,1233,40789,25106,47505,11650,NA,2210409,4988.973,17554,3.52,97.5,0.556,"13.7",92354733.77,88093430.53,9273.86,"PI"
205,"São Pedro do Piauí",6339,NA,130,3181,565,1114,542,111258,8625,NA,2210508,518.288,13755,26.54,98.4,0.595,"5.62",70203161.78,64444675.61,9391.24,"PI"
206,"São Raimundo Nonato",61404,NA,6076,80674,12208,356569,246532,398414,140073,NA,2210607,2415.287,38934,16.12,98,0.661,"15.81",163787841.41,155418828,16160.36,"PI"
207,"Sebastião Barros",17041,NA,604,1299,167,1646,3723,23786,5945,NA,2210623,893.488,3202,3.58,99.3,0.536,"-",32601608.48,29778551.03,13602.93,"PI"
208,"Sebastião Leal",7910,NA,96,798,144,237,952,17443,3479,NA,2210631,3148.857,4446,1.41,97.6,0.562,"-",43002744.15,35756446.28,59247.26,"PI"
209,"Sigefredo Pacheco",6875,NA,399,10862,1414,26955,12971,37469,10847,NA,2210656,1031.101,9460,9.17,99.2,0.581,"21.05",40599222.29,38004764.22,7758.71,"PI"
210,"Simões",7473,NA,601,2781,613,10780,36314,33194,9323,NA,2210706,1076.055,14350,13.34,95.3,0.575,"21.16",94726946.05,87627068.67,29626.58,"PI"
211,"Simplício Mendes",9805,NA,536,3715,632,14075,22225,39591,7308,NA,2210805,1360.028,13870,10.2,98.6,0.627,"-",61539630.58,59663527.44,14307.61,"PI"
212,"Socorro do Piauí",3632,NA,147,2030,366,11295,4279,7569,1516,NA,2210904,761.854,4141,5.44,97.8,0.561,"25.64",24621116.89,22862124.78,9011.75,"PI"
213,"Sussuapara",2027,NA,51,1722,378,1105,1098,17867,6694,NA,2210938,205.194,6220,30.31,93.7,0.586,"13.51",32969026.36,29083580.79,11305.35,"PI"
214,"Tamboril do Piauí",2442,NA,170,3429,503,10355,3529,14221,4935,NA,2210953,1587.296,2949,1.86,99.6,0.501,"-",27371029.57,24410797.6,10339.42,"PI"
215,"Tanque do Piauí",1265,NA,42,1171,223,2102,591,11491,2938,NA,2210979,398.007,2316,5.82,97.9,0.579,"41.67",26972670.05,22747132.36,11931.15,"PI"
216,"Teresina",66752,142,4970,138384,24481,108579,75186,4752097,286598,215,2211001,1391.293,866300,622.66,97.8,0.751,"15.48",4686028824.68,4839751925,27430.28,"PI"
217,"União",9720,NA,823,30781,5446,14537,9312,142716,28547,NA,2211100,1170.742,46119,39.39,97.9,0.577,"30.2",215368268.71,223474728.5,9413.79,"PI"
218,"Uruçuí",19891,NA,216,4032,525,1251,1530,314050,112303,NA,2211209,8413.016,25203,3,97,0.631,"15.58",233155824.38,211749932.3,129458.67,"PI"
219,"Valença do Piauí",81052,NA,2520,33117,5115,85107,90365,689812,368727,NA,2211308,1333.722,22279,16.7,98.6,0.647,"21.01",94035352.88,83871252.78,13832.67,"PI"
220,"Várzea Branca",2399,NA,370,3287,618,17587,6954,17602,6184,NA,2211357,450.429,5055,11.22,97.9,0.553,"25.64",33156846.76,29076467,9034.44,"PI"
221,"Várzea Grande",1621,NA,46,1589,292,2341,1615,18264,4169,NA,2211407,236.453,4417,18.68,99.6,0.571,"-",25161376.2,23039949.99,9355.32,"PI"
222,"Vera Mendes",2148,NA,163,2658,638,14968,11342,12557,3139,NA,2211506,341.974,3185,9.31,98.2,0.503,"-",26193916.96,26077311.18,10083.52,"PI"
223,"Vila Nova do Piauí",3261,NA,140,871,191,1531,6581,8950,2503,NA,2211605,221.627,2935,13.24,98.7,0.565,"-",27039949.91,25032199.16,12618.45,"PI"
224,"Wall Ferraz",3505,NA,150,4736,852,4077,7847,19088,4988,NA,2211704,270.427,4059,15.01,97.3,0.544,"-",47281107.13,42501607.24,8485.79,"PI"
