"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
16,"Araioses",11052,NA,642,515,62,1347,1808,79853,22743,NA,2100907,1789.73,39052,21.82,96.8,0.521,"22.49",156804560.58,127429859.8,6005.38,"MA"
17,"Arame",164890,244,3915,1130,203,1398,2498,52410,13889,NA,2100956,2976.039,25517,8.57,89.8,0.512,"18.83",110440925.7,102374022.5,8845.77,"MA"
18,"Arari",39192,4123,1670,3280,360,1658,755,28400,6240,NA,2101004,1100.275,29472,26.79,99,0.626,"2.95",144305268.81,136446901.2,10438.57,"MA"
19,"Axixá",420,NA,23,453,27,28,19,20137,3432,NA,2101103,160.462,11790,73.48,98.5,0.641,"19.61",53502187.85,52343763.87,7964.97,"MA"
20,"Bacabal",135300,135,1955,4324,762,1120,2751,84238,16620,NA,2101202,1656.736,103711,62.6,97.2,0.651,"10.75",423184160.39,443021251.5,14412.91,"MA"
21,"Bacabeira",4856,1130,265,1045,156,416,94,90490,25210,NA,2101251,542.962,16966,31.25,98.4,0.629,"8.33",98981862.2,92737120.56,34352.98,"MA"
22,"Bacuri",4858,39,109,2811,730,49,39,8196,2026,NA,2101301,850.491,16290,19.15,97.8,0.578,"14.71",81725751.17,85491890.45,6563.37,"MA"
23,"Bacurituba",7015,1493,387,8738,1008,1117,804,12577,3597,NA,2101350,413.651,5252,12.7,98.8,0.537,"18.87",32209289.2,30758367.75,6952.32,"MA"
24,"Balsas",118540,NA,3120,33838,4698,1102,6223,1096585,731670,NA,2101400,13141.162,101767,7.74,94.4,0.687,"12.5",510170334.44,466206344.3,65059.77,"MA"
25,"Barão de Grajaú",14482,NA,239,5870,339,22579,6427,45433,19078,NA,2101509,2209.414,18984,8.59,95.8,0.592,"11.86",80722695.5,82404548.78,14115.69,"MA"
26,"Barra do Corda",178901,NA,3803,7302,1218,3800,4876,158015,29300,NA,2101608,5187.673,84532,16.29,95.8,0.606,"16.68",320073079.82,343867761.7,10004.24,"MA"
27,"Barreirinhas",9970,NA,590,1895,305,5470,1247,38240,9750,NA,2101707,3046.308,65589,21.53,96,0.57,"13.37",278161826.08,267126572.8,9951.26,"MA"
28,"Bela Vista do Maranhão",9888,NA,285,409,127,289,605,511214,384576,NA,2101772,147.954,11750,79.42,98.5,0.554,"18.87",80177673.14,79019027.1,9480.51,"MA"
29,"Belágua",293,NA,130,1230,210,630,NA,7100,1430,NA,2101731,569.606,8460,14.85,95.9,0.512,"25.16",69741076.77,69523889.23,8006.04,"MA"
30,"Benedito Leite",15924,NA,141,722,68,2573,1984,7020,2459,NA,2101806,1784.64,5469,3.06,97.5,0.546,"33.9",31306851.17,28219055.03,12965.11,"MA"
31,"Bequimão",7790,203,710,19787,3153,1925,968,55135,18395,NA,2101905,790.222,19584,24.78,95.7,0.601,"22.94",74252383.02,70267541.6,6480.26,"MA"
32,"Bernardo do Mearim",17034,NA,1687,3084,670,615,1555,27468,5000,NA,2101939,247.186,5840,23.63,98.2,0.604,"-",49702941.5,51121284.5,17228.18,"MA"
33,"Boa Vista do Gurupi",6685,9,322,531,113,1294,928,10832,2850,NA,2101970,400.35,7574,18.92,97.7,0.545,"-",49476963.1,49002184.41,7953.1,"MA"
34,"Bom Jardim",210934,879,6018,2863,835,5692,3501,21368,5623,NA,2102002,6588.38,33100,5.02,96.8,0.538,"21.58",182924252.22,185239355.7,9793.62,"MA"
35,"Bom Jesus das Selvas",177241,NA,2752,1581,528,1043,1442,14928,3769,NA,2102036,2676.98,28599,10.68,88.7,0.558,"15.42",151163457.67,157937313.5,10706.25,"MA"
36,"Bom Lugar",64801,NA,997,1046,132,620,439,13985,4356,NA,2102077,445.171,12212,27.43,94.3,0.562,"7.81",71785455.07,66163273.73,7116.84,"MA"
37,"Brejo",9850,NA,370,4900,1210,7100,1380,19100,8900,NA,2102101,1073.258,34120,31.79,96,0.562,"16.56",155399320.25,154269535.3,8907.79,"MA"
38,"Brejo de Areia",36812,5,1048,1509,202,695,895,8450,2568,NA,2102150,986.036,9218,9.35,94,0.519,"16.53",40148032.58,43126410.6,8040.01,"MA"
39,"Buriti",7800,NA,281,8500,2900,6500,360,20120,9750,NA,2102200,1475.779,29685,20.11,99.1,0.548,"22",128296398.07,133349270.9,9613.88,"MA"
40,"Buriti Bravo",37960,NA,360,2080,402,1037,308,26103,6780,NA,2102309,1582.552,22455,14.19,97.3,0.59,"16.34",98743041.11,94320629,9949.14,"MA"
41,"Buriticupu",180182,126,2302,1767,571,1986,1486,27873,7256,NA,2102325,2544.857,55499,21.81,96.1,0.556,"13.42",311300131.76,295838343,10165.53,"MA"
42,"Buritirana",85534,NA,2194,4222,1007,1275,3726,39217,10961,NA,2102358,820.968,12918,15.74,98,0.583,"43.96",64555981,60148814.44,7901.52,"MA"
43,"Cachoeira Grande",1120,NA,410,1230,96,315,107,18730,4950,NA,2102374,707.236,9732,13.76,92.9,0.537,"16",51268667.99,49040960.09,6404.03,"MA"
44,"Cajapió",4498,4476,335,2340,360,945,730,13640,2350,NA,2102408,545.244,10121,18.56,97.2,0.553,"24.59",43836177.98,40090468.44,6279.23,"MA"
45,"Cajari",8835,6587,1840,4575,628,2072,580,28050,5200,NA,2102507,662.066,16412,24.79,96.4,0.523,"29.7",83426575.65,74354272.64,6562.71,"MA"
46,"Campestre do Maranhão",52095,11,585,1545,351,98,858,93570,11239,NA,2102556,613.529,12301,20.05,97.8,0.652,"10.42",67419551.9,60190984.59,14730.8,"MA"
47,"Cândido Mendes",7959,79,1352,31654,475,4571,4781,5504,1300,NA,2102606,1634.861,19932,12.19,96.5,0.561,"22.22",121677023.1,112763646.5,7205.58,"MA"
48,"Cantanhede",7686,36,337,9458,1248,1094,467,23193,5303,NA,2102705,773.01,24303,31.44,91.6,0.565,"13.7",116610465.43,124044147,6900.34,"MA"
49,"Capinzal do Norte",20709,NA,1645,1207,450,398,1431,32146,6432,NA,2102754,590.267,11374,19.27,94.1,0.537,"23.44",66252252.89,71189531.29,25967.91,"MA"
50,"Carolina",143102,NA,4169,3655,680,453,2584,32539,15720,NA,2102804,6267.675,24062,3.84,95.1,0.634,"19.17",118434456.38,124217802.9,21777.14,"MA"
51,"Carutapera",34058,815,435,3142,450,410,875,13500,6100,NA,2102903,1260.977,24238,19.22,98.2,0.574,"10.03",98954262.21,94286836.39,8385.15,"MA"
52,"Caxias",242833,3604,5226,52863,7027,19580,10250,480403,86278,NA,2103000,5201.927,156973,30.18,95.2,0.624,"16.42",682385144.26,714191174.9,12716.38,"MA"
